months,CAGR,annualized_arithmetic_mean,annualized_volatility,zero_rate_Sharpe,ending_growth_of_1,max_drawdown,recovery_return_required,months_underwater,share_months_underwater,longest_underwater_run_months,drawdown_area_months,low_threshold,high_threshold,base_return_path,is_legacy_rule,average_unhedged_weight,state_changes
218,0.12644676610063876,0.12313534320070713,0.08430561721261928,1.460582903866999,8.697822714501633,-0.07289996193650883,0.07863224996601324,109,0.5,14,2.3867775305084806,-1.5,1.0,gross_underlying,False,0.3568807339449541,35
218,0.11179384362677025,0.10991979455828901,0.0842926186359852,1.3040263351287484,6.856578910927174,-0.073622293756885,0.07947330042673097,119,0.5458715596330275,15,2.918952813178107,-1.5,1.0,net25_underlying,False,0.3568807339449541,35
218,0.1276958077776198,0.124044294043284,0.08174675614608806,1.5174216065724593,8.87470749624307,-0.07289996193650872,0.07863224996601312,106,0.48623853211009177,12,2.2370433180273124,-1.5,1.5,gross_underlying,False,0.41743119266055045,35
218,0.11302663765547338,0.11082517074761314,0.08170364703488107,1.3564286879421605,6.996018918382164,-0.073622293756885,0.07947330042673097,116,0.5321100917431193,13,2.694313564841594,-1.5,1.5,net25_underlying,False,0.41743119266055045,35
218,0.12963350771093674,0.12562376659619018,0.07982897444197716,1.573661286197513,9.155859470608236,-0.06930107441591016,0.07446132418431455,104,0.47706422018348627,11,1.72763625974402,-1.5,2.0,gross_underlying,False,0.47614678899082574,19
218,0.11493913181098092,0.11240146184731317,0.07977066799458593,1.4090575480067675,7.217653775917675,-0.07026279688990045,0.07557274964889182,115,0.5275229357798165,12,2.128884141175531,-1.5,2.0,net25_underlying,False,0.47614678899082574,19
218,0.12217110753795901,0.11918985196207321,0.08290255248229436,1.4377102802417185,8.117207914834053,-0.0938999682430327,0.1036309071316956,108,0.4954128440366973,12,1.938557820023148,-1.5,2.5,gross_underlying,False,0.49266055045871554,10
218,0.10757380322140553,0.10597479332850968,0.08284316037531367,1.2792220003244708,6.398874572560358,-0.09460593832016595,0.1044914499932081,119,0.5458715596330275,13,2.3656139996785672,-1.5,2.5,net25_underlying,False,0.49266055045871554,10
218,0.12869404212096303,0.12522716373377046,0.08526723953486907,1.468643343174728,9.018512099058096,-0.07289996193650894,0.07863224996601337,108,0.4954128440366973,14,2.4104556377241435,-1.0,1.0,gross_underlying,False,0.37522935779816513,43
218,0.11401188687525488,0.11201015420704082,0.0852620368379442,1.3137166124700517,7.109381496503225,-0.073622293756885,0.07947330042673097,118,0.5412844036697247,15,2.9446999618368794,-1.0,1.0,net25_underlying,False,0.37522935779816513,43
218,0.12994557565241394,0.12613611457634735,0.08273620024325422,1.5245577414178104,9.201918636146372,-0.07289996193650883,0.07863224996601324,105,0.481651376146789,12,2.2607214252429797,-1.0,1.5,gross_underlying,False,0.43577981651376146,43
218,0.11524714034415706,0.11291553039636498,0.08270150196633491,1.3653383277407611,7.2539626676311295,-0.07362229375688512,0.07947330042673109,115,0.5275229357798165,13,2.720060713500365,-1.0,1.5,net25_underlying,False,0.43577981651376146,43
218,0.1318871413224223,0.12771558712925357,0.08083847259159273,1.5798861981780703,9.49343670517516,-0.06930107441591016,0.07446132418431455,103,0.4724770642201835,11,1.7513143669596838,-1.0,2.0,gross_underlying,False,0.49449541284403675,27
218,0.11716344995049988,0.11449182149606499,0.08078898601317973,1.4171711658491055,7.483769219209208,-0.07026279688990056,0.07557274964889196,114,0.5229357798165137,12,2.1546312898343007,-1.0,2.0,net25_underlying,False,0.49449541284403675,27
218,0.1244098535635707,0.12128167249513655,0.08388849822561496,1.4457485240581378,8.416489987597497,-0.0938999682430327,0.1036309071316956,107,0.4908256880733945,12,1.9622359272388104,-1.0,2.5,gross_underlying,False,0.5110091743119266,18
218,0.10978342743412783,0.10806515297726149,0.08383757711078092,1.2889823000784821,6.634801564393266,-0.09460593832016584,0.10449144999320796,118,0.5412844036697247,13,2.3913611483373427,-1.0,2.5,net25_underlying,False,0.5110091743119266,18
218,0.12935270870877513,0.12588588089215938,0.08608648955243897,1.4623186698242225,9.114601676916747,-0.07289996193650883,0.07863224996601324,107,0.4908256880733945,14,2.352036126786173,-0.5,1.0,gross_underlying,False,0.41192660550458715,45
218,0.1146619854679003,0.11266698007949402,0.0860652562008935,1.3090878369839134,7.185129852698978,-0.073622293756885,0.07947330042673097,117,0.536697247706422,15,2.8495061313009478,-0.5,1.0,net25_underlying,False,0.41192660550458715,45
218,0.13060497259166737,0.12679483173473627,0.08357966335264636,1.5170536306152949,9.299962356388122,-0.07289996193650883,0.07863224996601324,104,0.47706422018348627,11,2.202129689083116,-0.5,1.5,gross_underlying,False,0.4724770642201835,45
218,0.11589795978776563,0.1135723562688182,0.08352875108309327,1.3596798084031925,7.331251493424014,-0.07362229375688512,0.07947330042673109,114,0.5229357798165137,12,2.6363624785070114,-0.5,1.5,net25_underlying,False,0.4724770642201835,45
218,0.13254767129187472,0.12837430428764243,0.08170046354222743,1.5712799991800697,9.594586464182907,-0.06930107441591016,0.07446132418431455,102,0.46788990825688076,7,1.704703567278151,-0.5,2.0,gross_underlying,True,0.5311926605504587,29
218,0.11781538768574706,0.1151486473685182,0.08163455602698641,1.410538048745593,7.563506565809929,-0.07026279688990067,0.07557274964889209,114,0.5229357798165137,12,2.0824693480988112,-0.5,2.0,net25_underlying,True,0.5311926605504587,29
218,0.12506602004794165,0.12194038965352547,0.08472364980752703,1.4392721504626684,8.506165197995493,-0.0938999682430327,0.1036309071316956,106,0.48623853211009177,8,1.9039367269301875,-0.5,2.5,gross_underlying,False,0.5477064220183486,20
218,0.11043105844490642,0.10872197884971468,0.08465687561134728,1.2842663760572537,6.7054934118394875,-0.09460593832016595,0.1044914499932081,117,0.536697247706422,12,2.3191906560486046,-0.5,2.5,net25_underlying,False,0.5477064220183486,20
