sleeve,historical_weight,full_sample_expost_optimum,near95_min,near95_max,bootstrap_q025,bootstrap_q975,rolling_min,rolling_max
HAA,0.25,0.5050627910387497,0.1070758534519324,0.5630545085205253,0.1,0.6,0.1,0.6
BAA,0.15,0.1,0.1000031174896587,0.4124374872792925,0.1,0.435651994954772,0.1,0.6
ADM,0.175,0.1,0.1000013929198441,0.3519239079726586,0.1,0.1806393323422872,0.1,0.1000000000000007
FAA,0.175,0.1,0.1000022419470621,0.3614968528711938,0.1,0.1000000000000002,0.1,0.1000000000000006
LAA,0.25,0.1949372089612502,0.1000017567601611,0.5109578621488867,0.1,0.5719974166977977,0.1,0.5176364670633974
