sleeve,mean_active_assets,change_rate,mean_effective_n,mean_rule_defined_defensive_share
HAA,4.692660550458716,0.6036866359447005,4.6926605504586965,0.26146788990825687
BAA,1.8577981651376148,0.5990783410138248,1.8385321100917456,0.555045871559633
ADM,5.536697247706422,0.8433179723502304,5.41425546930132,0.1200305810397554
FAA,5.559633027522936,0.8341013824884793,5.435603387438228,0.12003058103975536
LAA,6.0,0.03225806451612903,4.519774011299434,0.02023809523809524
