holding_month,base_return_path,variant,unhedged_weight,portfolio_return
2008-06,gross_underlying,fully_hedged_proxy,0.0,-0.0019511441757345
2008-07,gross_underlying,fully_hedged_proxy,0.0,-0.0193943524529933
2008-08,gross_underlying,fully_hedged_proxy,0.0,-0.0176475355579345
2008-09,gross_underlying,fully_hedged_proxy,0.0,-0.0303273359754647
2008-10,gross_underlying,fully_hedged_proxy,0.0,-0.0382469795839618
2008-11,gross_underlying,fully_hedged_proxy,0.0,0.050143693235461
2008-12,gross_underlying,fully_hedged_proxy,0.0,0.0452388222967805
2009-01,gross_underlying,fully_hedged_proxy,0.0,-0.0378143263433701
2009-02,gross_underlying,fully_hedged_proxy,0.0,-0.0136817717968045
2009-03,gross_underlying,fully_hedged_proxy,0.0,0.0230215218463338
2009-04,gross_underlying,fully_hedged_proxy,0.0,0.0134630861960592
2009-05,gross_underlying,fully_hedged_proxy,0.0,0.0417913620183689
2009-06,gross_underlying,fully_hedged_proxy,0.0,-0.0115537113220804
2009-07,gross_underlying,fully_hedged_proxy,0.0,0.07845852703294
2009-08,gross_underlying,fully_hedged_proxy,0.0,0.0084029342644392
2009-09,gross_underlying,fully_hedged_proxy,0.0,0.0717703474610667
2009-10,gross_underlying,fully_hedged_proxy,0.0,-0.0320374645096335
2009-11,gross_underlying,fully_hedged_proxy,0.0,0.0672578896797538
2009-12,gross_underlying,fully_hedged_proxy,0.0,0.019269096900886
2010-01,gross_underlying,fully_hedged_proxy,0.0,-0.0408932825842956
2010-02,gross_underlying,fully_hedged_proxy,0.0,0.0217942398653733
2010-03,gross_underlying,fully_hedged_proxy,0.0,0.0615844293415694
2010-04,gross_underlying,fully_hedged_proxy,0.0,0.0284299960408987
2010-05,gross_underlying,fully_hedged_proxy,0.0,-0.0640267792823248
2010-06,gross_underlying,fully_hedged_proxy,0.0,0.003781759242705
2010-07,gross_underlying,fully_hedged_proxy,0.0,0.0186195718063013
2010-08,gross_underlying,fully_hedged_proxy,0.0,0.0045817990475163
2010-09,gross_underlying,fully_hedged_proxy,0.0,0.0381789988203552
2010-10,gross_underlying,fully_hedged_proxy,0.0,0.0323652025124842
2010-11,gross_underlying,fully_hedged_proxy,0.0,-0.0046993586064994
2010-12,gross_underlying,fully_hedged_proxy,0.0,0.0467349136277452
2011-01,gross_underlying,fully_hedged_proxy,0.0,0.0061941476701484
2011-02,gross_underlying,fully_hedged_proxy,0.0,0.0240970099427317
2011-03,gross_underlying,fully_hedged_proxy,0.0,0.0055975437178803
2011-04,gross_underlying,fully_hedged_proxy,0.0,0.0455894655115606
2011-05,gross_underlying,fully_hedged_proxy,0.0,-0.0162521898218316
2011-06,gross_underlying,fully_hedged_proxy,0.0,-0.02108206939149
2011-07,gross_underlying,fully_hedged_proxy,0.0,0.0115291880366938
2011-08,gross_underlying,fully_hedged_proxy,0.0,0.008685430156043
2011-09,gross_underlying,fully_hedged_proxy,0.0,-0.0333770100264403
2011-10,gross_underlying,fully_hedged_proxy,0.0,0.0321252107197764
2011-11,gross_underlying,fully_hedged_proxy,0.0,-0.0046205281315236
2011-12,gross_underlying,fully_hedged_proxy,0.0,-0.0063676216626753
2012-01,gross_underlying,fully_hedged_proxy,0.0,0.0412879439844087
2012-02,gross_underlying,fully_hedged_proxy,0.0,0.0143703642222729
2012-03,gross_underlying,fully_hedged_proxy,0.0,0.0158717686910099
2012-04,gross_underlying,fully_hedged_proxy,0.0,-0.0022355697282649
2012-05,gross_underlying,fully_hedged_proxy,0.0,-0.0196856845159698
