portfolio,basis,MDD,recovery_gain_required_from_MDD,max_underwater_months,fraction_months_underwater,mean_drawdown_all_months,ulcer_index,MDD_trough_month,MDD_recovery_month
ADAA historical,gross,-0.1033923118858445,0.1153149959078654,18,0.5779816513761468,0.0164101323949635,0.0263843123702679,2008-10,2009-05
ADAA equal 20%,gross,-0.0999510185192866,0.1110506434381521,17,0.5779816513761468,0.0163616719202879,0.0260555892576329,2008-10,2009-05
HAA hindsight strongest sleeve,gross,-0.1168278814832796,0.1322821214957408,15,0.5412844036697247,0.0160894405233031,0.0283235128065366,2008-10,2008-12
60/40 SPY/IEF,gross,-0.2755231137988324,0.380306285882428,27,0.5458715596330275,0.0312427543026288,0.0619276451618919,2009-02,2010-09
SPY,gross,-0.4632240177293011,0.8629745611376756,32,0.5779816513761468,0.0564395036602726,0.106119982285786,2009-02,2011-02
