holding_month,best_sleeve,best_rolling60m_sharpe,ADAA_rolling60m_sharpe,ADAA_rank_among_6
2013-05-01,HAA,1.0520918660551621,1.0467789715680185,2.0
2013-06-01,HAA,1.096068061300864,1.0126260379073186,2.0
2013-07-01,HAA,1.1477370728272671,1.1023302026179789,2.0
2013-08-01,HAA,1.1682416634529227,1.134468277635937,2.0
2013-09-01,HAA,1.2958895543813433,1.2524137514598588,2.0
2013-10-01,LAA,1.3449728567042416,1.4050564477959244,1.0
2013-11-01,LAA,1.279886137852781,1.341895869061063,1.0
2013-12-01,LAA,1.1963950035386286,1.2826132619481958,1.0
2014-01-01,HAA,1.3287951686254538,1.3641273737594288,1.0
2014-02-01,LAA,1.3830056759104985,1.4473436518214562,1.0
2014-03-01,LAA,1.287058963002622,1.37292923370319,1.0
2014-04-01,LAA,1.2667273734208766,1.3565571845715534,1.0
2014-05-01,LAA,1.225700070705574,1.317309081564714,1.0
2014-06-01,LAA,1.325419196083495,1.3903456503754863,1.0
2014-07-01,LAA,1.2433081453352888,1.284089064477606,1.0
2014-08-01,BAA,1.2905839842353801,1.3261525824349643,1.0
2014-09-01,BAA,1.1725197875915514,1.111329494404146,3.0
2014-10-01,BAA,1.306424765315377,1.2497400997770687,2.0
2014-11-01,BAA,1.2439830485948211,1.1953735061491193,2.0
2014-12-01,BAA,1.2059657115384999,1.1606010286113946,2.0
2015-01-01,BAA,1.3448162689894934,1.3836815097728714,1.0
2015-02-01,BAA,1.2515395890227086,1.305797969949723,1.0
2015-03-01,BAA,1.0842403197201813,1.1796731207778335,1.0
2015-04-01,LAA,1.0404458983218514,1.0832919590048469,1.0
2015-05-01,BAA,1.3125855021972286,1.4082995547111627,1.0
2015-06-01,BAA,1.1730196299695372,1.307912476836373,1.0
2015-07-01,BAA,1.1674548049909546,1.2549540028661927,1.0
2015-08-01,BAA,1.2643406784057547,1.1697435401512088,2.0
2015-09-01,BAA,1.305758004392459,1.0916862756606973,2.0
2015-10-01,BAA,1.2315550736949201,1.0478979800526171,2.0
2015-11-01,BAA,1.2519093445945468,1.035411621577038,2.0
2015-12-01,BAA,1.2018148016761412,0.9073317105842728,2.0
2016-01-01,BAA,1.171521406992278,0.8886343509421699,2.0
2016-02-01,BAA,1.1680203587207254,0.8749262246631422,2.0
2016-03-01,BAA,1.1870294828272876,0.9253951815643398,2.0
2016-04-01,BAA,1.1242561882546966,0.8224281243313523,2.0
2016-05-01,BAA,1.1614233699708096,0.8740373624001785,2.0
2016-06-01,BAA,1.311388225902897,1.063741508591114,2.0
2016-07-01,BAA,1.3002485429854063,1.0692882850592218,2.0
2016-08-01,BAA,1.2829329086346763,1.0202948642829115,2.0
2016-09-01,BAA,1.3325890676227221,1.224768165840941,2.0
2016-10-01,BAA,1.3364913514874797,1.041794765419401,2.0
2016-11-01,BAA,1.3117291592690927,1.0355155071201163,3.0
2016-12-01,BAA,1.3002739452375194,1.1029623542866995,3.0
2017-01-01,BAA,1.2704099955008505,1.0713749234685106,3.0
2017-02-01,BAA,1.1707344829470347,1.0851473974460062,3.0
2017-03-01,HAA,1.1336367879273248,1.080942987419493,3.0
2017-04-01,HAA,1.1919517509725108,1.1327027193338375,3.0
2017-05-01,HAA,1.3728834089097184,1.3180433239088052,2.0
2017-06-01,HAA,1.309694116505663,1.228977533842706,2.0
2017-07-01,HAA,1.2642087731931462,1.2456867322423701,2.0
2017-08-01,HAA,1.209986227099012,1.2346828681699185,1.0
2017-09-01,HAA,1.2561487950243047,1.2124429936869252,3.0
2017-10-01,BAA,1.5280338182121491,1.4169036675901614,2.0
2017-11-01,BAA,1.4440806253479082,1.409939906131432,2.0
2017-12-01,BAA,1.3712957675082664,1.382746074842756,1.0
2018-01-01,HAA,1.3900880063007703,1.417896197152697,1.0
2018-02-01,BAA,1.352906973402329,1.255626119181459,2.0
2018-03-01,BAA,1.338191261381521,1.1953038594563359,2.0
2018-04-01,BAA,1.3326469149530682,1.1432251511320166,2.0
2018-05-01,BAA,1.471784524749602,1.241317451601675,2.0
2018-06-01,BAA,1.4487749368422773,1.3243768155929074,2.0
2018-07-01,BAA,1.412435757213434,1.2819442254711517,2.0
2018-08-01,BAA,1.5056186419190598,1.3763400997468496,2.0
2018-09-01,BAA,1.5260078910946888,1.3149688573434382,2.0
2018-10-01,BAA,1.368736435762312,1.0944202117419242,3.0
2018-11-01,BAA,1.2913480530431092,1.0648210144323746,3.0
2018-12-01,BAA,1.2233779837162597,0.9841561984390104,3.0
2019-01-01,BAA,1.2368612711715292,1.1006539309812766,3.0
2019-02-01,BAA,1.213840576131473,1.0282088656637676,3.0
2019-03-01,BAA,1.3713526831700578,1.1254253072732465,3.0
2019-04-01,BAA,1.4743960700442391,1.1659372209345682,3.0
2019-05-01,HAA,1.093382605154791,0.9323603579984737,3.0
2019-06-01,HAA,1.149148152722133,0.9687353498429387,3.0
2019-07-01,HAA,1.206434479956449,1.0036327329467754,3.0
2019-08-01,HAA,1.211687856906732,1.0174892643211033,3.0
2019-09-01,HAA,1.4126735007717088,1.1440964483336697,2.0
2019-10-01,HAA,1.4084508756783085,1.1386048063870395,2.0
2019-11-01,HAA,1.3512424306835282,1.1053682440866086,2.0
2019-12-01,HAA,1.3683113187415532,1.1652299004454285,2.0
2020-01-01,HAA,1.247011852603228,1.0928951600534667,2.0
2020-02-01,BAA,1.2009805373268798,1.0666263209176357,3.0
2020-03-01,BAA,1.297034766168819,0.968491783403208,3.0
2020-04-01,BAA,1.3755312517172114,1.1027845406927093,3.0
2020-05-01,BAA,1.317601228361958,1.1593749768456483,3.0
2020-06-01,BAA,1.410187258942485,1.3115633430558244,3.0
2020-07-01,BAA,1.4907851479730714,1.4050290228784676,3.0
2020-08-01,BAA,1.567457102127116,1.5649966739736452,2.0
2020-09-01,HAA,1.400085671386946,1.4247238839167646,1.0
2020-10-01,HAA,1.4027999413480157,1.3294453068875354,2.0
2020-11-01,HAA,1.4831588480061018,1.4496829417594694,2.0
2020-12-01,HAA,1.5870943074697623,1.560605214791649,2.0
2021-01-01,HAA,1.5554804249171672,1.570163190204531,1.0
2021-02-01,HAA,1.585233704382176,1.55511258475012,2.0
2021-03-01,HAA,1.5446536266030744,1.5227333924462114,2.0
2021-04-01,HAA,1.6273241384283443,1.5956604959661715,2.0
2021-05-01,HAA,1.6489836001255418,1.6499498029092725,1.0
2021-06-01,HAA,1.6142853172039984,1.6014224228411433,2.0
2021-07-01,HAA,1.604980719636731,1.5959165070602224,2.0
2021-08-01,HAA,1.6677174427156558,1.642895037696705,2.0
2021-09-01,HAA,1.5538867766848892,1.458245264818394,2.0
2021-10-01,HAA,1.7297111620149903,1.609614378272617,2.0
2021-11-01,HAA,1.5966273771570443,1.5723058608199154,2.0
2021-12-01,HAA,1.6264161273353497,1.5985032621805675,2.0
2022-01-01,HAA,1.4235300472452932,1.4360610507404652,1.0
