sleeve,decision_displacement,timing_agreement,effective_n_change,semantic_identical_weight_rate,semantic_mean_holdings_jaccard,semantic_change_rate_a,semantic_change_rate_b
BAA Aggressive,0.2746913580246913,0.8137931034482758,0.027777777777777457,0.8518518518518519,0.8603395061728394,0.6186046511627907,0.6046511627906976
LAA,0.5,1.0,0.5197740112994342,0.0,0.4285714285714285,0.0511627906976744,0.0511627906976744
HAA,0.5625,0.6918238993710691,0.08518518518518459,0.2916666666666667,0.615376984126984,0.5813953488372093,0.6697674418604651
FAA,1.3364197530864186,0.6855670103092784,0.1333333333333342,0.0462962962962962,0.2418981481481481,0.6930232558139535,0.827906976744186
