strategy_a,strategy_b,n_months,mean_L1_target_weight_distance,normalized_L1_distance,mean_holdings_jaccard,holdings_disagreement,transition_jaccard,transition_timing_disagreement,primary_decision_distance,change_rate_a,change_rate_b
AAA,ADM,216,1.673211350479342,0.836605675239671,0.15069444444444444,0.8493055555555555,0.30985915492957744,0.6901408450704225,0.7920173586218829,0.9906976744186047,0.30697674418604654
AAA,BAA_Aggressive,216,1.7991049414031006,0.8995524707015503,0.08304673721340387,0.9169532627865962,0.6244131455399061,0.3755868544600939,0.7306975293160801,0.9906976744186047,0.6186046511627907
AAA,BAA_Balanced,216,1.5624210782758883,0.7812105391379441,0.20475088183421514,0.7952491181657848,0.7242990654205608,0.2757009345794392,0.6173868639610561,0.9906976744186047,0.7255813953488373
AAA,DAA,216,1.5173090394005715,0.7586545197002857,0.23512823339212224,0.7648717666078777,0.8925233644859814,0.10747663551401865,0.543667640607394,0.9906976744186047,0.8930232558139535
AAA,DM,216,1.6131683985030874,0.8065841992515437,0.1826388888888889,0.8173611111111111,0.1784037558685446,0.8215962441314554,0.8151805181647034,0.9906976744186047,0.17674418604651163
AAA,EAA,216,1.3103865890550812,0.6551932945275406,0.239237948265726,0.760762051734274,0.9116279069767442,0.08837209302325577,0.5014424797616902,0.9906976744186047,0.9209302325581395
AAA,FAA,216,1.6666243030056214,0.8333121515028107,0.16415343915343913,0.8358465608465608,0.6837209302325581,0.3162790697674419,0.6618125940389378,0.9906976744186047,0.6930232558139535
AAA,GPM,216,1.4052572690839114,0.7026286345419557,0.19939925044091708,0.8006007495590829,0.7850467289719626,0.2149532710280374,0.572727551709692,0.9906976744186047,0.786046511627907
AAA,GTAA,216,1.513702121529368,0.756851060764684,0.2547949735449735,0.7452050264550265,0.5492957746478874,0.45070422535211263,0.6509201041906078,0.9906976744186047,0.5441860465116279
AAA,KDA,216,1.1209438416844324,0.5604719208422162,0.40202821869488536,0.5979717813051146,0.9158878504672897,0.08411214953271029,0.414185283893347,0.9906976744186047,0.9162790697674419
AAA,LAA,216,1.7040910116543802,0.8520455058271901,0.1257495590828924,0.8742504409171076,0.051643192488262914,0.9483568075117371,0.8915509180853448,0.9906976744186047,0.05116279069767442
AAA,PAA,216,1.209634909450332,0.604817454725166,0.29238315696649025,0.7076168430335097,0.7116279069767442,0.28837209302325584,0.5336021302606438,0.9906976744186047,0.7209302325581395
AAA,QSF,216,1.520908957072601,0.7604544785363005,0.11234567901234567,0.8876543209876543,0.3130841121495327,0.6869158878504673,0.7783415624581407,0.9906976744186047,0.31627906976744186
AAA,RAA,216,1.6745990041353578,0.8372995020676789,0.12341269841269842,0.8765873015873016,0.11737089201877934,0.8826291079812206,0.8655053038787336,0.9906976744186047,0.11627906976744186
AAA,VAA,216,1.6132517119629044,0.8066258559814522,0.1202932098765432,0.8797067901234568,0.6807511737089202,0.31924882629107976,0.6685271574653294,0.9906976744186047,0.6744186046511628
ADM,BAA_Aggressive,216,1.935185185185185,0.9675925925925924,0.032407407407407406,0.9675925925925926,0.2922077922077922,0.7077922077922079,0.8809924643257977,0.30697674418604654,0.6186046511627907
ADM,BAA_Balanced,216,1.8641975308641978,0.9320987654320989,0.06790123456790123,0.9320987654320988,0.2982456140350877,0.7017543859649122,0.8553173056097033,0.30697674418604654,0.7255813953488373
ADM,DAA,216,1.8788580246913578,0.9394290123456789,0.07594797178130512,0.9240520282186949,0.2964824120603015,0.7035175879396984,0.8556662095013574,0.30697674418604654,0.8930232558139535
ADM,DM,216,1.1851851851851851,0.5925925925925926,0.4074074074074074,0.5925925925925926,0.16853932584269662,0.8314606741573034,0.6722152864474961,0.30697674418604654,0.17674418604651163
ADM,EAA,216,1.907830317506645,0.9539151587533224,0.09243827160493828,0.9075617283950617,0.32,0.6799999999999999,0.8471589623827948,0.30697674418604654,0.9209302325581395
ADM,FAA,216,1.8580246913580243,0.9290123456790121,0.07253086419753087,0.9274691358024691,0.2647058823529412,0.7352941176470589,0.8639251997095134,0.30697674418604654,0.6930232558139535
ADM,GPM,216,1.9876543209876543,0.9938271604938271,0.008487654320987654,0.9915123456790124,0.29120879120879123,0.7087912087912087,0.8980435716546827,0.30697674418604654,0.786046511627907
ADM,GTAA,216,1.8111111111111113,0.9055555555555557,0.10339506172839506,0.8966049382716049,0.2887323943661972,0.7112676056338028,0.8378093664869878,0.30697674418604654,0.5441860465116279
ADM,KDA,216,1.730842566430782,0.865421283215391,0.12600308641975308,0.8739969135802469,0.30198019801980197,0.698019801980198,0.8124793329252786,0.30697674418604654,0.9162790697674419
ADM,LAA,216,2.0,1.0,0.0,1.0,0.08450704225352113,0.9154929577464789,0.971830985915493,0.30697674418604654,0.05116279069767442
ADM,PAA,216,1.90869341563786,0.95434670781893,0.06349206349206347,0.9365079365079365,0.2556818181818182,0.7443181818181819,0.8783909420483494,0.30697674418604654,0.7209302325581395
ADM,QSF,216,1.962962962962963,0.9814814814814815,0.018518518518518517,0.9814814814814815,0.13559322033898305,0.864406779661017,0.94245658087466,0.30697674418604654,0.31627906976744186
ADM,RAA,216,1.8953703703703704,0.9476851851851852,0.05231481481481482,0.9476851851851852,0.10975609756097561,0.8902439024390244,0.928538090936465,0.30697674418604654,0.11627906976744186
ADM,VAA,216,1.7314814814814814,0.8657407407407407,0.13425925925925927,0.8657407407407407,0.3105590062111801,0.68944099378882,0.8069741584234338,0.30697674418604654,0.6744186046511628
BAA_Aggressive,BAA_Balanced,216,0.7947530864197537,0.39737654320987686,0.6026234567901235,0.3973765432098765,0.7409638554216867,0.25903614457831325,0.3512630769993555,0.6186046511627907,0.7255813953488373
BAA_Aggressive,DAA,216,1.7006172839506168,0.8503086419753084,0.12549603174603174,0.8745039682539683,0.6169154228855721,0.3830845771144279,0.7026323957812348,0.6186046511627907,0.8930232558139535
BAA_Aggressive,DM,216,1.944444444444444,0.972222222222222,0.027777777777777776,0.9722222222222222,0.17123287671232876,0.8287671232876712,0.9244038559107052,0.6186046511627907,0.17674418604651163
BAA_Aggressive,EAA,216,1.583537163249673,0.7917685816248365,0.15169753086419752,0.8483024691358025,0.6146341463414634,0.3853658536585366,0.6751456348063919,0.6186046511627907,0.9209302325581395
BAA_Aggressive,FAA,216,1.7870370370370363,0.8935185185185182,0.08888888888888889,0.9111111111111111,0.47643979057591623,0.5235602094240838,0.7760632796845709,0.6186046511627907,0.6930232558139535
BAA_Aggressive,GPM,216,1.413065843621399,0.7065329218106995,0.264429012345679,0.735570987654321,0.6063829787234043,0.3936170212765957,0.6119069769138721,0.6186046511627907,0.786046511627907
BAA_Aggressive,GTAA,216,1.801851851851851,0.9009259259259255,0.09663800705467371,0.9033619929453263,0.5337423312883436,0.4662576687116564,0.7568485291943027,0.6186046511627907,0.5441860465116279
BAA_Aggressive,KDA,216,1.8282048822704742,0.9141024411352371,0.07399691358024692,0.926003086419753,0.6019417475728155,0.3980582524271845,0.7460545933273917,0.6186046511627907,0.9162790697674419
BAA_Aggressive,LAA,216,1.7407407407407407,0.8703703703703703,0.11026234567901234,0.8897376543209876,0.058823529411764705,0.9411764705882353,0.9004281650931979,0.6186046511627907,0.05116279069767442
BAA_Aggressive,PAA,216,1.7204218106995883,0.8602109053497942,0.1428203997648442,0.8571796002351558,0.5319148936170213,0.46808510638297873,0.7284918706559762,0.6186046511627907,0.7209302325581395
BAA_Aggressive,QSF,216,1.6512345679012344,0.8256172839506172,0.17515432098765432,0.8248456790123457,0.22560975609756098,0.774390243902439,0.8082844022884673,0.6186046511627907,0.31627906976744186
BAA_Aggressive,RAA,216,1.6827160493827156,0.8413580246913578,0.14477513227513228,0.8552248677248677,0.17037037037037037,0.8296296296296296,0.8420708406819517,0.6186046511627907,0.11627906976744186
BAA_Aggressive,VAA,216,1.6574074074074074,0.8287037037037037,0.1720679012345679,0.8279320987654322,0.5617977528089888,0.4382022471910112,0.6982793498867158,0.6186046511627907,0.6744186046511628
BAA_Balanced,DAA,216,1.1203703703703711,0.5601851851851856,0.3660457084068195,0.6339542915931805,0.7313432835820896,0.26865671641791045,0.48759873106542545,0.7255813953488373,0.8930232558139535
BAA_Balanced,DM,216,1.888888888888889,0.9444444444444445,0.05555555555555555,0.9444444444444444,0.1686746987951807,0.8313253012048193,0.9067380633645694,0.7255813953488373,0.17674418604651163
BAA_Balanced,EAA,216,1.5360957128743353,0.7680478564371677,0.21102843915343913,0.7889715608465608,0.7268292682926829,0.2731707317073171,0.6100633829970151,0.7255813953488373,0.9209302325581395
BAA_Balanced,FAA,216,1.6929012345679009,0.8464506172839504,0.11771384479717814,0.8822861552028218,0.5803108808290155,0.4196891191709845,0.716141963885919,0.7255813953488373,0.6930232558139535
BAA_Balanced,GPM,216,1.1831275720164611,0.5915637860082306,0.3570216049382716,0.6429783950617284,0.6666666666666666,0.33333333333333337,0.5226251714677641,0.7255813953488373,0.786046511627907
BAA_Balanced,GTAA,216,1.6070987654320987,0.8035493827160494,0.1564759700176367,0.8435240299823633,0.56,0.43999999999999995,0.6956911375661375,0.7255813953488373,0.5441860465116279
BAA_Balanced,KDA,216,1.571661231517575,0.7858306157587875,0.2045083774250441,0.7954916225749559,0.7219512195121951,0.2780487804878049,0.6197903396071828,0.7255813953488373,0.9162790697674419
BAA_Balanced,LAA,216,1.6658950617283952,0.8329475308641976,0.1172067901234568,0.8827932098765432,0.06369426751592357,0.9363057324840764,0.884015491074939,0.7255813953488373,0.05116279069767442
BAA_Balanced,PAA,216,1.2062757201646097,0.6031378600823049,0.4343033509700176,0.5656966490299824,0.6542553191489362,0.3457446808510638,0.5048597299877837,0.7255813953488373,0.7209302325581395
BAA_Balanced,QSF,216,1.807098765432099,0.9035493827160495,0.09722222222222222,0.9027777777777778,0.28,0.72,0.8421090534979424,0.7255813953488373,0.31627906976744186
BAA_Balanced,RAA,216,1.5364197530864199,0.7682098765432099,0.17521494708994712,0.8247850529100529,0.14556962025316456,0.8544303797468354,0.8158084364000328,0.7255813953488373,0.11627906976744186
BAA_Balanced,VAA,216,1.7608024691358029,0.8804012345679014,0.12037037037037036,0.8796296296296297,0.6096256684491979,0.39037433155080214,0.7168017319161111,0.7255813953488373,0.6744186046511628
DAA,DM,216,1.8842592592592586,0.9421296296296293,0.06878306878306877,0.9312169312169313,0.1794871794871795,0.8205128205128205,0.8979531271197937,0.8930232558139535,0.17674418604651163
